date,flow_windsor,storage,shortfall_london,restrictions
2072-02-19,18039,202828,0,0
2072-02-20,15948,202828,0,0
2072-02-21,14253,202828,0,0
2072-02-22,14055,202828,0,0
2072-02-23,12803,202828,0,0
2072-02-24,11722,202828,0,0
2072-02-25,10815,202828,0,0
2072-02-26,10046,202828,0,0
2072-02-27,12067,202828,0,0
2072-02-28,11334,202828,0,0
2072-02-29,10539,202828,0,0
2072-03-01,9857,202828,0,0
2072-03-02,9260,202828,0,0
2072-03-03,8759,202828,0,0
2072-03-04,9614,202828,0,0
2072-03-05,9182,202828,0,0
2072-03-06,8845,202828,0,0
2072-03-07,10330,202828,0,0
2072-03-08,10029,202828,0,0
2072-03-09,9563,202828,0,0
2072-03-10,9105,202828,0,0
2072-03-11,8932,202828,0,0
2072-03-12,8483,202828,0,0
2072-03-13,8042,202828,0,0
2072-03-14,9959,202828,0,0
2072-03-15,13838,202828,0,0
2072-03-16,14036,202828,0,0
2072-03-17,13097,202828,0,0
2072-03-18,12838,202828,0,0
2072-03-19,13156,202828,0,0
2072-03-20,13433,202828,0,0
2072-03-21,12673,202828,0,0
2072-03-22,11800,202828,0,0
2072-03-23,11040,202828,0,0
2072-03-24,10401,202828,0,0
2072-03-25,9830,202828,0,0
2072-03-26,9321,202828,0,0
2072-03-27,9166,202828,0,0
2072-03-28,8759,202828,0,0
